"","ï..Season","Depth_m","O2_uM","Add_data","Season"
"1","Fall",10,203.533,TRUE,"Fall"
"2","Fall",20,183.787,FALSE,"Fall"
"3","Fall",40,130.579,FALSE,"Fall"
"4","Fall",60,91.115,TRUE,"Fall"
"5","Fall",75,69.828,FALSE,"Fall"
"6","Fall",85,26.972,FALSE,"Fall"
"7","Fall",90,11.066,TRUE,"Fall"
"8","Fall",97,8.997,FALSE,"Fall"
"9","Fall",100,6.605,FALSE,"Fall"
"10","Fall",110,5.933,FALSE,"Fall"
"11","Fall",120,2.891,TRUE,"Fall"
"12","Fall",135,2.766,FALSE,"Fall"
"13","Fall",150,14.465,FALSE,"Fall"
"14","Fall",165,24.239,FALSE,"Fall"
"15","Fall",185,28.885,FALSE,"Fall"
"16","Fall",200,26.766,TRUE,"Fall"
"17","Summer",10,216.667,TRUE,"Summer"
"18","Summer",20,159.672,FALSE,"Summer"
"19","Summer",40,141.778,FALSE,"Summer"
"20","Summer",60,97.894,TRUE,"Summer"
"21","Summer",75,44.978,FALSE,"Summer"
"22","Summer",85,25.807,FALSE,"Summer"
"23","Summer",90,27.011,TRUE,"Summer"
"24","Summer",97,34.436,FALSE,"Summer"
"25","Summer",100,38.012,FALSE,"Summer"
"26","Summer",110,27.557,FALSE,"Summer"
"27","Summer",120,32.354,TRUE,"Summer"
"28","Summer",135,20.446,FALSE,"Summer"
"29","Summer",150,0,FALSE,"Summer"
"30","Summer",165,0,FALSE,"Summer"
"31","Summer",185,0,FALSE,"Summer"
"32","Summer",200,0,TRUE,"Summer"
